area,area_type,district_code,house_number,legal_description,locality,nature_of_property,postcode,primary_purpose,property_id,property_name,strata_lot_number,street_name,unit_number,zoning
,,139,1,1/SP75841,DRUMMOYNE,R,2047,RESIDENCE,3210054,,1,ST GEORGES CRES,1,
,,260,14,1/SP75935,NORTH PARRAMATTA,R,2151,RESIDENCE,3211643,,1,BOWDEN ST,1,
,,260,15,3/SP75873,TELOPEA,R,2117,RESIDENCE,3212391,,3,ADDERTON RD,3,
,,260,73,14/SP76042,SILVERWATER,R,2128,RESIDENCE,3213279,,14,DEAKIN ST,14,
,,139,1,20/SP75930,BREAKFAST POINT,R,2137,RESIDENCE,3213405,AYLSBURY,20,ORCHARDS AVE,404,
,,260,46,96/SP75866,WENTWORTH POINT,R,2127,RESIDENCE,3214126,BELLAGIO,96,BAYWATER DR,444,
,,139,20,7/SP76058,CONCORD,R,2137,RESIDENCE,3214307,,7,ADA ST,7,
,,139,1,28/SP76098,FIVE DOCK,R,2046,RESIDENCE,3216039,,28,MCKINNON AVE,401,
,,260,35,15/SP76125,ROSEHILL,R,2142,RESIDENCE,3216141,,15,PENELOPE LUCAS LANE,15,
,,260,66,6/SP76097,NORTH PARRAMATTA,R,2151,RESIDENCE,3216896,,6,GLADSTONE ST,6,
,,090,5,2/SP76103,WEST RYDE,R,2114,RESIDENCE,3216919,,2,HERMOYNE ST,2,
,,260,210,17/SP76147,OATLANDS,R,2117,RESIDENCE,3219405,OATLINKS ESTATE,17,PENNANT HILLS RD,17,
,,139,353,2/SP75526,DRUMMOYNE,R,2047,RESIDENCE,3220438,,2,VICTORIA PL,2,
,,139,9,14/SP81182,RHODES,3,2138,OFFICE,3223368,,14,BLAXLAND RD,14,
,,260,23,4/SP76301,NORTH PARRAMATTA,3,2151,WAREHOUSE,3223482,,4,HUNT ST,4,
,,260,75,1/SP76312,PARRAMATTA,R,2150,RESIDENCE,3224177,,1,PHILLIP ST,1,
,,260,7 A,21/SP76302,ERMINGTON,R,2115,RESIDENCE,3224234,,21,BLAKEFORD AVE,21,
,,260,88,53/SP75633,PARRAMATTA,R,2150,RESIDENCE,3225001,BUILDING C,53,MARSDEN ST,20 C,
220.0,M,260,8,79/SP86827,CARLINGFORD,R,2118,RESIDENCE,3225460,,79,BOUNDARY RD,79,
,,260,3,26/SP74988,NEWINGTON,R,2127,RESIDENCE,3226865,,26,SANDPIPER CRES,6,
,,260,8,5/SP76349,PARRAMATTA,R,2150,RESIDENCE,3227425,,5,ELIZABETH ST,5,
,,260,48,7/SP76491,NORTH PARRAMATTA,R,2151,RESIDENCE,3229051,,7,GLADSTONE ST,7,
,,090,1 A,13/SP76577,MARSFIELD,R,2122,RESIDENCE,3232800,,13,BUSACO RD,13,
,,260,173,5/SP76344,CARLINGFORD,R,2118,RESIDENCE,3232981,,5,PENNANT HILLS RD,5,
,,139,9,16/SP76606,DRUMMOYNE,R,2047,RESIDENCE,3233072,,16,PARK AVE,4,
,,260,77,9/SP76619,TELOPEA,R,2117,RESIDENCE,3234732,,9,ADDERTON RD,9,
,,139,11,8/SP76564,BREAKFAST POINT,R,2137,RESIDENCE,3234892,,8,ORCHARDS AVE,216,
,,090,34,3/SP76599,DENISTONE,R,2114,RESIDENCE,3234905,,3,RYEDALE RD,3,
,,090,188,3/SP76592,MARSFIELD,R,2122,RESIDENCE,3235194,,3,WATERLOO RD,3,
,,090,5,13/SP76502243/SP77059318/SP77059,MEADOWBANK,3,2114,HOME UNIT,3236079,BRIDGE VIEW BUILDING 3A,318,BAY DR,318,
,,139,6,6/SP76717,STRATHFIELD,R,2135,RESIDENCE,3236376,,6,HILTS RD,6,
,,260,13,11/SP76622,WESTMEAD,R,2145,RESIDENCE,3237397,,11,HELEN ST,11,
,,139,1,2/SP76729,STRATHFIELD,R,2135,RESIDENCE,3237551,,2,HILTS RD,2,
,,260,42,6/SP76724,NORTHMEAD,R,2152,RESIDENCE,3237757,,6,DREMEDAY ST,6,
,,090,56,1/SP76159,NORTH RYDE,R,2113,RESIDENCE,3239377,,1,AVON RD,1,
,,260,185,7/SP76354,NORTHMEAD,3,2152,COMMERCIAL,3239504,,7,BRIENS RD,7,
,,260,2,4/SP75942,SILVERWATER,3,2128,COMMERCIAL,3241758,,4,PICKEN ST,4,
,,139,2,18/SP75931,RHODES,R,2138,RESIDENCE,3242487,,18,RIDER BVD,902,
,,090,84,3/SP76906,EASTWOOD,R,2122,RESIDENCE,3242733,,3,BALACLAVA RD,3,
,,260,56,1/SP76808,NORTH PARRAMATTA,R,2151,RESIDENCE,3243686,,1,BELMORE ST,1,
,,090,549,1/SP76429,RYDE,R,2112,RESIDENCE,3246550,,1,VICTORIA RD,1,
,,090,12,3/SP77011,DENISTONE EAST,R,2112,RESIDENCE,3246579,,3,BIRDWOOD ST,3,
,,139,2,1/SP768872/SP76887,RHODES,3,2138,COMMERCIAL,3247213,,2,MARY ST,102,
,,139,2,24/SP76888,RHODES,R,2138,RESIDENCE,3247219,TANNER,24,WALKER ST,604,
,,139,17,1/SP76994,DRUMMOYNE,R,2047,RESIDENCE,3247271,,1,MARLBOROUGH ST,1,
,,139,1,46/SP76920,RHODES,R,2138,RESIDENCE,3249476,,46,JEAN WAILES AVE,506,
,,090,32,2/SP77018,GLADESVILLE,R,2111,RESIDENCE,3249687,,2,HIGH ST,2,
,,260,26,4/SP77143,ERMINGTON,R,2115,RESIDENCE,3251203,,4,STEWART ST,4,
,,090,234,3/SP77132,RYDE,R,2112,RESIDENCE,3251798,,3,BUFFALO RD,3,
,,090,33,7/SP77019,EASTWOOD,R,2122,RESIDENCE,3252290,,7,RAILWAY PDE,7,
,,260,19,18/SP77017,WENTWORTH POINT,R,2127,RESIDENCE,3252590,SORRENTO,18,HILL RD,305,
,,260,7,3/SP77058,SILVERWATER,3,2128,WAREHOUSE,3252718,,3,MILLENNIUM CT,3,
,,260,4 A,3/SP77032,ERMINGTON,R,2115,RESIDENCE,3253595,,3,MARSDEN RD,3,
,,260,66,1/SP76800,NORTH PARRAMATTA,R,2151,RESIDENCE,3253832,,1,BULLER ST,1,
,,260,36,5/SP77208,NORTH PARRAMATTA,R,2151,RESIDENCE,3254100,,5,GLADSTONE ST,5,
,,090,7,3/SP77244,RYDE,R,2112,RESIDENCE,3257101,,3,AEOLUS AVE,3,
,,260,21,109/SP77193,WENTWORTH POINT,R,2127,RESIDENCE,3258326,PAROS,109,HILL RD,710,
,,090,257,2/SP77188,RYDE,R,2112,RESIDENCE,3259265,,2,BLAXLAND RD,2,
,,260,105,38/SP76832,PARRAMATTA,R,2150,RESIDENCE,3259583,,38,CHURCH ST,38,
,,260,105,2/SP76833,PARRAMATTA,R,2150,RESIDENCE,3260151,,2,CHURCH ST,2,
,,260,30,14/SP77367,NORTHMEAD,R,2152,RESIDENCE,3260790,,14,REDBANK RD,14,
,,139,5,59/SP77399,BREAKFAST POINT,R,2137,RESIDENCE,3261056,SPYGLASS HILL,59,WOODLANDS AVE,76,
,,090,26,5/SP77423,EASTWOOD,R,2122,RESIDENCE,3262797,,5,CORUNNA RD,5,
,,139,104,9/SP75689,FIVE DOCK,3,2046,COMMERCIAL,3264896,,9,WILLIAM ST,2 A,
,,090,175,2/SP77507,PUTNEY,R,2112,RESIDENCE,3265264,,2,MORRISON RD,2,
,,260,40,10/SP77531,WESTMEAD,R,2145,RESIDENCE,3267754,,10,LYDBROOK ST,10,
,,090,11,6/SP775927/SP77592,EASTWOOD,R,2122,RESIDENCE,3267810,,7,CLANALPINE ST,7,
,,260,101,2/SP77539,PARRAMATTA,R,2150,RESIDENCE,3268911,,2,MARSDEN ST,2,
,,260,74,31/SP76736,EPPING,3,2121,OFFICE,3269224,SUITE,31,RAWSON ST,31,
,,139,17,26/SP77475,RHODES,R,2138,RESIDENCE,3271317,,26,JEAN WAILES AVE,405,
,,090,4,5/SP77573,EASTWOOD,R,2122,RESIDENCE,3271468,,5,RUTLEDGE ST,5,
,,260,142,5/SP76233,NORTH ROCKS,R,2151,RESIDENCE,3273215,,5,NORTH ROCKS RD,5,
,,260,40,1/SP77743,NORTH PARRAMATTA,R,2151,RESIDENCE,3273247,,1,ISABELLA ST,1,
,,260,58,1/SP77739,SILVERWATER,R,2128,RESIDENCE,3273375,,1,CARNARVON ST,1,
,,090,40,3/SP77748,NORTH RYDE,R,2113,RESIDENCE,3273390,,3,WICKS RD,3,
,,260,56,4/SP77756,NORTH PARRAMATTA,R,2151,RESIDENCE,3274448,,4,GROSE ST,4,
,,260,162,6/SP77765,DUNDAS VALLEY,R,2117,RESIDENCE,3274453,,6,MARSDEN RD,6,
,,260,46,4/SP77736,PARRAMATTA,R,2150,RESIDENCE,3274586,,4,PEMBERTON ST,4,
,,090,100,65/SP78436,RYDE,R,2112,RESIDENCE,3274659,,65,BELMORE ST,1128,
,,090,20,50/SP78437,RYDE,R,2112,RESIDENCE,3274708,,50,PORTER ST,2208,
,,090,1,1/SP777292/SP77729,EASTWOOD,3,2122,SHOP,3277539,,2,ROWE ST,2 A,
,,090,1,34/SP77730,EASTWOOD,R,2122,RESIDENCE,3277542,,34,ROWE ST,34,
,,260,4,68/SP77776,WENTWORTH POINT,R,2127,RESIDENCE,3277583,VALENCIA,68,THE CRESCENT,684,
,,260,102,5/SP77829,ROSEHILL,R,2142,RESIDENCE,3278034,,5,ALFRED ST,5,
,,139,24,2/SP77837,CONCORD,R,2137,RESIDENCE,3279599,,2,GALE ST,2,
,,260,57,4/SP77957,NORTHMEAD,R,2152,RESIDENCE,3280865,,4,BEAMISH RD,4,
,,260,91 D,12/SP77987,WESTMEAD,R,2145,RESIDENCE,3282095,COTE D'AZURE,12,BRIDGE RD,202,
,,139,127,5/SP77996,CONCORD,R,2137,RESIDENCE,3282220,,5,MAJORS BAY RD,5,
,,260,14,7/SP77943,WESTMEAD,R,2145,RESIDENCE,3282371,,7,REID AVE,7,
,,260,164,3/SP78006,DUNDAS,R,2117,RESIDENCE,3285072,,3,KISSING POINT RD,3,
,,139,48,6/SP78079,MORTLAKE,R,2137,RESIDENCE,3285411,,6,EDWIN ST,6,
,,260,13,13/SP78082,NORTHMEAD,R,2152,RESIDENCE,3286844,,13,HOWARD AVE,13,
,,260,20,6/SP78016,NORTHMEAD,R,2152,RESIDENCE,3287017,,6,REDBANK RD,6,
,,090,1,1/SP78199,GLADESVILLE,R,2111,RESIDENCE,3288167,,1,BLAIR ST,1,
,,260,28,20/SP78156,NORTH PARRAMATTA,R,2151,RESIDENCE,3288318,,20,PENNANT HILLS RD,20,
,,139,21,35/SP78164,BREAKFAST POINT,R,2137,RESIDENCE,3288601,SAVANNAH,35,PENINSULA DR,53,
,,260,90,5/SP78257,SILVERWATER,3,2128,FACTORY,3288777,,5,CARNARVON ST,5,
3.0,M,139,114,4/SP77260,CONCORD,R,2137,RESIDENCE,3289010,STORE ROOM,4,MAJORS BAY RD,4,
,,260,2 C,9/SP78103,TELOPEA,R,2117,RESIDENCE,3289053,,9,TELOPEA ST,9,
,,260,192,2/SP78165,OATLANDS,R,2117,RESIDENCE,3289087,,2,PENNANT HILLS RD,2,
,,139,74,8/SP78200,DRUMMOYNE,R,2047,RESIDENCE,3289104,,8,VICTORIA RD,8,
,,260,4,7/SP78287,NORTH PARRAMATTA,R,2151,RESIDENCE,3289931,,7,WAUGH AVE,7,
,,139,81,2/SP78198,FIVE DOCK,R,2046,RESIDENCE,3290748,,2,GARFIELD ST,2,
,,139,13,1/SP77769,DRUMMOYNE,R,2047,RESIDENCE,3291013,,1,ST GEORGES CRES,1,
,,139,39,1/SP78274,DRUMMOYNE,R,2047,RESIDENCE,3291124,,1,COLLINGWOOD ST,1,
,,260,7,1/SP78283,ERMINGTON,R,2115,RESIDENCE,3291135,,1,MCARDLE ST,1,
,,260,22,6/SP78297,PARRAMATTA,R,2150,RESIDENCE,3291406,,6,PITT ST,6,
,,139,15,2/SP78288,CHISWICK,R,2046,RESIDENCE,3293091,,2,BLACKWALL POINT RD,1,
,,139,15 A,2/SP78291,CHISWICK,R,2046,RESIDENCE,3293097,,2,BLACKWALL POINT RD,1,
,,139,13 A,1/SP78292,CHISWICK,R,2046,RESIDENCE,3293100,,1,BLACKWALL POINT RD,2,
,,260,48,4/SP78282,ROSEHILL,R,2142,RESIDENCE,3293134,,4,PENELOPE LUCAS LANE,4,
,,090,6 A,6/SP78359,EASTWOOD,R,2122,RESIDENCE,3293861,,6,ERIC ST,6,
,,260,30,18/SP78240,WESTMEAD,R,2145,RESIDENCE,3293927,,18,LYDBROOK ST,18,
,,090,10,1/SP78379,GLADESVILLE,R,2111,RESIDENCE,3294507,,1,ROSS ST,1,
,,260,32,37/SP77897,WESTMEAD,R,2145,RESIDENCE,3294829,,37,MONS RD,37,
,,260,76,6/SP76706,EPPING,R,2121,RESIDENCE,3295793,,6,RAWSON ST,106,
,,260,156,3/SP78361,DUNDAS VALLEY,R,2117,RESIDENCE,3296198,,3,MARSDEN RD,3,
,,090,10,15/SP78411,EASTWOOD,R,2122,RESIDENCE,3296235,,15,ETHEL ST,15,
,,260,19,5/SP78468,DUNDAS VALLEY,R,2117,RESIDENCE,3297125,,5,RYAN ST,5,
,,260,1,20/SP78418,ROSEHILL,R,2142,RESIDENCE,3297969,,20,ELEANOR ST,20,
,,260,165,6/SP78451,EPPING,R,2121,RESIDENCE,3297990,,6,CARLINGFORD RD,6,
,,260,163,8/SP78428,WESTMEAD,R,2145,RESIDENCE,3298137,,8,HAWKESBURY RD,8,
,,260,163,23/SP78429,WESTMEAD,R,2145,RESIDENCE,3298155,,23,HAWKESBURY RD,20,
,,139,10,26/SP77457,RHODES,R,2138,RESIDENCE,3299066,"RHODES BAY, BUILDING A",26,MARQUET ST,404 A,
,,139,10,3/SP77559,RHODES,V,2138,VACANT LAND,3299115,BUILDING B,3,MARQUET ST,3 B,
,,139,10,29/SP77560,RHODES,R,2138,RESIDENCE,3299180,BUILDING C,29,MARQUET ST,502 C,
,,139,10,21/SP77565,RHODES,R,2138,RESIDENCE,3299221,BUILDING D,21,MARQUET ST,403 D,
,,139,10,1/SP77648,RHODES,R,2138,RESIDENCE,3299253,BUILDING K,1,MARQUET ST,1 K,
,,139,10,22/SP77725,RHODES,R,2138,RESIDENCE,3299261,BUILDING J,22,MARQUET ST,208 J,
,,139,10,4/SP77740,RHODES,R,2138,RESIDENCE,3299303,BUIILDING H,4,MARQUET ST,101 H,
,,139,10,51/SP85279,RHODES,R,2138,RESIDENCE,3299316,,51,MARQUET ST,501,
,,139,10,45/SP86215,RHODES,R,2138,RESIDENCE,3299343,,45,MARQUET ST,404 G,
,,260,315,5/SP78513,DUNDAS,R,2117,RESIDENCE,3299382,,5,KISSING POINT RD,5,
,,090,247,3/SP78546,RYDE,R,2112,RESIDENCE,3300706,,3,QUARRY RD,3,
,,260,437,4/SP78555,TOONGABBIE,R,2146,RESIDENCE,3302837,,4,WENTWORTH AVE,4,
,,090,69,1/SP78452,WEST RYDE,R,2114,RESIDENCE,3303610,,1,FALCONER ST,1,
,,260,12,5/SP87354,ERMINGTON,R,2115,RESIDENCE,3304070,,5,MCARDLE ST,1,
,,139,114,4/SP77261,CONCORD,3,2137,OFFICE UNIT,3304248,,4,MAJORS BAY RD,4,
,,090,293,3/SP78624,NORTH RYDE,R,2113,RESIDENCE,3305411,,3,PITTWATER RD,3,
,,260,55,26/SP78518,PARRAMATTA,3,2150,COMMERCIAL,3306636,,26,PHILLIP ST,26,
,,090,98,6/SP78744,WEST RYDE,R,2114,RESIDENCE,3306720,,6,STATION ST,6,
,,260,154,8/SP78739,WESTMEAD,R,2145,RESIDENCE,3307025,,8,BRIDGE RD,8,
,,090,3,3/SP78681,EASTWOOD,R,2122,RESIDENCE,3307811,,3,EDGAR ST,3,
195.0,M,260,140,93/SP78606,PARRAMATTA,R,2150,RESIDENCE,3308013,,93,CHURCH ST,2502,
239.4,M,139,10,85/1103670,RHODES,R,2138,RESIDENCE,3308346,,,MARQUET ST,5 L,R4
238.6,M,139,10,86/1103670,RHODES,R,2138,RESIDENCE,3308347,,,MARQUET ST,6 L,R4
239.6,M,139,10,90/1103670,RHODES,R,2138,RESIDENCE,3308351,,,MARQUET ST,10 L,R4
,,260,1,17/SP78696,ERMINGTON,R,2115,RESIDENCE,3308432,,17,CHECKLEY CT,17,
,,090,63,1/SP78812,EASTWOOD,R,2122,RESIDENCE,3310752,,1,VIMIERA RD,1,
,,260,66,5/SP78779,NORTH PARRAMATTA,R,2151,RESIDENCE,3311584,,5,BELMORE ST,5,
,,260,718,19/SP78856,ERMINGTON,R,2115,RESIDENCE,3311948,,19,VICTORIA RD,19,
,,090,72 A,1/SP78817,GLADESVILLE,R,2111,RESIDENCE,3312408,,1,ELTHAM ST,1,
,,139,10,1/SP78862,NORTH STRATHFIELD,R,2137,RESIDENCE,3314835,,1,NAPIER ST,1,
,,090,13,2/SP78879,EASTWOOD,R,2122,RESIDENCE,3316514,,2,O'KEEFE CRES,2,
,,260,25,4/SP78980,NORTHMEAD,R,2152,RESIDENCE,3317547,,4,CAMPBELL ST,4,
,,139,43,14/SP78894,CONCORD,3,2137,COMMERCIAL,3318809,,14,MAJORS BAY RD,209,
,,260,65,5/SP79029,NORTHMEAD,R,2152,RESIDENCE,3319940,,5,BEAMISH RD,5,
5.0,M,090,9,43/SP78741,MEADOWBANK,R,2114,RESIDENCE,3320137,NORTHGATE,43,BAY DR,4,
,,090,18,15/SP79043,GLADESVILLE,R,2111,RESIDENCE,3321507,,15,PITTWATER RD,15,
,,260,11,8/SP79016,PARRAMATTA,R,2150,RESIDENCE,3321792,,8,TENNYSON ST,8,
,,139,26,3/SP79106,MORTLAKE,R,2137,RESIDENCE,3322864,,3,MCDONALD ST,3,
,,260,99,5/SP79209,TELOPEA,R,2117,RESIDENCE,3324253,,5,ADDERTON RD,5,
,,260,21,6/SP79230,TELOPEA,R,2117,RESIDENCE,3326278,,6,ROBERT ST,6,
,,260,22,8/SP79151,NORTHMEAD,R,2152,RESIDENCE,3326495,,8,ANDERSON RD,8,
,,260,237,5/SP79261,CARLINGFORD,R,2118,RESIDENCE,3328092,,5,PENNANT HILLS RD,5,
,,090,16,13/SP79296,GLADESVILLE,R,2111,RESIDENCE,3328112,,13,LINSLEY ST,13,
,,260,414,8/SP79336,RYDALMERE,R,2116,RESIDENCE,3333046,,8,VICTORIA RD,8,
,,090,45,2/SP79395,NORTH RYDE,R,2113,RESIDENCE,3333679,,2,BLENHEIM RD,2,
,,090,24,1/SP78023,EASTWOOD,R,2122,RESIDENCE,3334634,,1,RAYMOND ST,1,
,,260,22,2/SP79399,RYDALMERE,R,2116,RESIDENCE,3335060,,2,JOSEPH ST,2,
,,260,46,1/SP79455,NORTH PARRAMATTA,R,2151,RESIDENCE,3336313,,1,BRICKFIELD ST,1,
,,090,5,4/SP79238,WEST RYDE,R,2114,RESIDENCE,3336806,,4,ENDEAVOUR ST,4,
,,090,35,10/SP7951610/SP79516,GLADESVILLE,R,2111,RESIDENCE,3337598,,10,HIGGINBOTHAM RD,10,
,,139,134,6/SP7873118/SP78731,FIVE DOCK,R,2046,RESIDENCE,3340248,,18,GREAT NORTH RD,18,
,,139,479,8/SP79528,ABBOTSFORD,R,2046,RESIDENCE,3340825,,8,GREAT NORTH RD,8,
,,139,20,16/SP79585,MORTLAKE,R,2137,RESIDENCE,3340847,,16,TENNYSON RD,16,
,,260,8,6/SP79511,CARLINGFORD,R,2118,RESIDENCE,3341065,,6,CHARLES ST,6,
,,260,33,5/SP79510,DUNDAS VALLEY,R,2117,RESIDENCE,3342108,,5,BAIN PL,5,
,,260,360,10/SP79493,RYDALMERE,R,2116,RESIDENCE,3343621,,10,VICTORIA RD,10,
,,139,114,2/SP79438,FIVE DOCK,R,2046,RESIDENCE,3344247,,2,KINGS RD,2,
,,139,6,26/SP79398,RHODES,R,2138,RESIDENCE,3345011,SIENNA BY THE BAY,26,MARQUET ST,915,
,,260,6,1/SP79645,RYDALMERE,R,2116,RESIDENCE,3345121,,1,PINE LANE,1,
,,260,54,4/SP79657,NORTH ROCKS,R,2151,RESIDENCE,3345456,,4,BARCLAY RD,4,
,,260,6,57/SP79088,WENTWORTH POINT,R,2127,RESIDENCE,3346099,PALERMO,57,NUVOLARI PL,606,
,,090,777,6/SP79661,RYDE,R,2112,RESIDENCE,3346397,,6,VICTORIA RD,6,
,,090,110,5/SP77529,NORTH RYDE,R,2113,RESIDENCE,3347057,,5,TWIN RD,5,
,,090,2 A,2/SP79680,DENISTONE EAST,R,2112,RESIDENCE,3347852,,2,BRABYN ST,2,
,,260,154,2/SP79324,DUNDAS,R,2117,RESIDENCE,3348058,,2,KISSING POINT RD,2,
,,090,163,3/SP79685,EASTWOOD,R,2122,RESIDENCE,3348333,,3,NORTH RD,3,
,,260,38,1/SP79221,NORTH PARRAMATTA,R,2151,RESIDENCE,3351885,,1,ALBERT ST,1,
,,260,57,12/SP79889,ROSEHILL,R,2142,RESIDENCE,3354510,,12,PENELOPE LUCAS LANE,12,
,,260,15,10/SP79817,EPPING,R,2121,RESIDENCE,3360985,,10,CHESTER ST,10,
,,260,53,2/SP80058,PARRAMATTA,R,2150,RESIDENCE,3362842,,2,MARSDEN ST,2,
,,260,2,13/SP79802,CARLINGFORD,R,2118,RESIDENCE,3363198,,13,CHARLES ST,13,
,,260,9,7/SP80097,NORTHMEAD,R,2152,RESIDENCE,3363262,,7,BALMORAL RD,7,
,,260,7,17/SP80154,WENTWORTHVILLE,R,2145,RESIDENCE,3364249,,17,SHORT ST,17,
,,260,58,13/SP80011,NORTH PARRAMATTA,R,2151,RESIDENCE,3364374,,13,BELMORE ST,13,
,,260,157,12/SP80091,DUNDAS,R,2117,RESIDENCE,3366672,,12,KISSING POINT RD,12,
,,260,12,4/SP80122,TELOPEA,R,2117,RESIDENCE,3366694,,4,SOPHIE ST,4,
,,260,22,42/SP80149,PARRAMATTA,R,2150,RESIDENCE,3366902,,42,CHARLES ST,611,
,,260,103,59/SP8015060/SP80150,PARRAMATTA,R,2150,RESIDENCE,3367165,CAR SPACE,60,GEORGE ST,60,
,,090,10,13/SP80245,EASTWOOD,R,2122,RESIDENCE,3367305,,13,ROWE ST,13,
,,090,3,9/SP80249,MACQUARIE PARK,R,2113,RESIDENCE,3367321,,9,TASMAN PL,9,
281.0,M,260,37,6/SP80218,SILVERWATER,R,2128,RESIDENCE,3368713,,6,ASQUITH ST,6,
,,090,1,6/SP80309,EASTWOOD,R,2122,RESIDENCE,3369575,,6,NORMA AVE,6,
177.0,M,260,42,1/SP80352,SILVERWATER,R,2128,RESIDENCE,3371941,,1,CARNARVON ST,1,
217.0,M,090,11,2/SP80268,MEADOWBANK,3,2114,COMMERCIAL,3372630,,2,BAY DR,102,
,,090,12,1/SP80258,WEST RYDE,R,2114,RESIDENCE,3373213,,1,MIRIAM RD,1,
,,090,100,1/SP80306,WEST RYDE,R,2114,RESIDENCE,3374206,,1,PARKES ST,1,
,,139,31,1/SP80408,DRUMMOYNE,R,2047,RESIDENCE,3374216,,1,MARLBOROUGH ST,1,
,,139,51,1/SP80250,CONCORD,R,2137,RESIDENCE,3376204,,1,GIPPS ST,1,
,,090,14,1/SP80490,DENISTONE EAST,R,2112,RESIDENCE,3377822,,1,HENDERSON ST,1,
,,090,637,4/SP80487,EASTWOOD,R,2122,RESIDENCE,3378233,,4,BLAXLAND RD,4,
,,090,1,2/SP79727,EASTWOOD,R,2122,RESIDENCE,3379044,,2,BELLAMY AVE,2,
,,139,163,4/SP80014,WAREEMBA,R,2046,RESIDENCE,3381458,,4,HAMPDEN RD,4,
,,260,3,5/SP80499,EPPING,R,2121,RESIDENCE,3381476,,5,MAIDA RD,5,
,,090,19,5/SP80548,GLADESVILLE,R,2111,RESIDENCE,3382635,,5,ASHBURN PL,5,
,,260,20,12/SP80598,NORTH PARRAMATTA,R,2151,RESIDENCE,3382647,,12,BURNHAM PL,12,
,,139,9,56/SP8046068/SP80460,RHODES,R,2138,RESIDENCE,3383554,ADINA,68,MARY ST,502,
,,260,43,1/SP805672/SP80567,EPPING,R,2121,RESIDENCE,3385682,,2,DORSET ST,2,
,,260,16,58/SP80611,CARLINGFORD,R,2118,RESIDENCE,3385689,,58,POST OFFICE ST,58,
,,260,19,8/SP80644,CONSTITUTION HILL,R,2145,RESIDENCE,3386329,,8,MOUNT ST,8,
,,260,165,1/SP80708,ERMINGTON,R,2115,RESIDENCE,3387802,,1,SPURWAY ST,1,
,,260,141,3/SP80735,EPPING,R,2121,RESIDENCE,3389025,,3,CARLINGFORD RD,3,
,,260,20,10/SP80762,NORTHMEAD,R,2152,RESIDENCE,3389258,,10,BRIENS RD,10,
,,139,30,1/SP80505,MORTLAKE,R,2137,RESIDENCE,3390156,,1,BERTRAM ST,1,
,,260,26,7/SP80719,OATLANDS,R,2117,RESIDENCE,3390912,,7,BETTINGTON RD,7,
,,260,9,1/SP80801,GRANVILLE,R,2142,RESIDENCE,3390939,,1,GRAY ST,1,
,,260,17,28/SP80813,PARRAMATTA,R,2150,RESIDENCE,3391165,,28,HASSALL ST,28,
,,090,6,2/SP80806,RYDE,R,2112,RESIDENCE,3391609,,2,KULGOA AVE,2,
,,260,8,2/SP80869,PARRAMATTA,R,2150,RESIDENCE,3393071,,2,CAMPBELL ST,2,
,,260,14,6/SP80592,GRANVILLE,R,2142,RESIDENCE,3393815,,6,ALFRED ST,6,
,,090,128,1/SP80899,EASTWOOD,R,2122,RESIDENCE,3394753,,1,LOVELL RD,1,
,,260,74,5/SP80854,PARRAMATTA,R,2150,RESIDENCE,3396466,,5,PEMBERTON ST,5,
,,139,68,42/SP80901,BREAKFAST POINT,R,2137,RESIDENCE,3398134,HERMITAGE HILL,42,VILLAGE DR,61,
7.0,M,090,32,42/SP80947,MACQUARIE PARK,3,2113,OFFICE,3399406,DELHI CORPORATE,42,DELHI RD,221,
,,090,17,2/SP81055,MACQUARIE PARK,R,2113,RESIDENCE,3402858,,2,FONTENOY RD,2,
,,260,68,6/SP8064714/SP80647,SILVERWATER,R,2128,RESIDENCE,3403243,,14,BEACONSFIELD ST,14,
,,260,143,5/SP81080,EPPING,R,2121,RESIDENCE,3404800,,5,CARLINGFORD RD,5,
,,260,19,8/SP81213,TELOPEA,R,2117,RESIDENCE,3407824,,8,TELOPEA ST,8,
,,139,2,2/SP81224,DRUMMOYNE,R,2047,RESIDENCE,3408068,,2,THERRY ST,2,
,,139,1,11/SP81231,BREAKFAST POINT,R,2137,RESIDENCE,3408739,,11,JUNIPER DR,22,
,,260,95,2/SP81106,DUNDAS,R,2117,RESIDENCE,3409627,,2,KISSING POINT RD,2,
,,139,50,7/SP81205,DRUMMOYNE,R,2047,RESIDENCE,3410043,,7,VICTORIA RD,7,
,,260,96,3/SP81285,NORTH PARRAMATTA,R,2151,RESIDENCE,3411082,,3,GLADSTONE ST,3,
,,260,25,4/SP81323,NORTHMEAD,R,2152,RESIDENCE,3411094,,4,MURRAY ST,4,
,,139,1,5/SP81251,DRUMMOYNE,R,2047,RESIDENCE,3412255,,5,STUART CRES,5,
,,139,46,18/SP81300,MORTLAKE,3,2137,COMMERCIAL,3414326,,18,TENNYSON RD,18,
,,260,13,6/SP81406,WESTMEAD,R,2145,RESIDENCE,3414995,,6,LYDBROOK ST,6,
,,260,5,2/SP81415,TOONGABBIE,R,2146,RESIDENCE,3417028,,2,LAMONERIE ST,2,
,,260,10,8/SP81511,NORTHMEAD,R,2152,RESIDENCE,3420722,,8,CAMPBELL ST,8,
,,139,39,10/SP81539,STRATHFIELD,R,2135,RESIDENCE,3421118,,10,COOPER ST,210,
,,139,10,142/SP81356119/SP81356,RHODES,R,2138,RESIDENCE,3423818,TANDARA,119,JEAN WAILES AVE,303,
