area,area_type,district_code,house_number,legal_description,locality,nature_of_property,postcode,primary_purpose,property_id,property_name,strata_lot_number,street_name,unit_number,zoning
,,139,164 G,28/SP46633,CONCORD,R,2137,RESIDENCE,1449092,WATERSIDE,28,BURWOOD RD,16,
,,139,164 F,8/SP50201,CONCORD,R,2137,RESIDENCE,1449121,HARBOUR,8,BURWOOD RD,8,
,,139,164 E,15/SP53431,CONCORD,R,2137,RESIDENCE,1449138,,15,BURWOOD RD,15,
,,139,164 D,7/SP49718,CONCORD,R,2137,RESIDENCE,1449164,,7,BURWOOD RD,7,
,,139,164 B,1/SP49720,CONCORD,R,2137,RESIDENCE,1449180,,1,BURWOOD RD,1,
,,139,164 A,3/SP46634,CONCORD,R,2137,RESIDENCE,1449187,MIDDLETON TERRACE,3,BURWOOD RD,3,
225.7,M,139,162 B,15/270150,CONCORD,R,2137,RESIDENCE,1449194,,,BURWOOD RD,15,R3
261.4,M,139,162 H,16/270150,CONCORD,R,2137,RESIDENCE,1449195,TOWNHOUSE,,BURWOOD RD,16,R3
,,139,162 C,7/SP57914,CONCORD,R,2137,RESIDENCE,1449196,THE SOMERSET,7,BURWOOD RD,7,
298.5,M,139,162 D,28/270150,CONCORD,R,2137,RESIDENCE,1449205,,,BURWOOD RD,17,R3
249.5,M,139,162 D,30/270150,CONCORD,R,2137,RESIDENCE,1449207,,,BURWOOD RD,19 T,R3
264.0,M,139,162 H,31/270150,CONCORD,R,2137,RESIDENCE,1449208,,,BURWOOD RD,20 T,R3
,,139,162 E,1/SP57915,CONCORD,R,2137,RESIDENCE,1449209,,1,BURWOOD RD,1,
,,139,162 F,1/SP57498,CONCORD,R,2137,RESIDENCE,1449236,,1,BURWOOD RD,1,
254.4,M,139,162 H,24/270150,CONCORD,R,2137,RESIDENCE,1449265,,,BURWOOD RD,5,R3
351.1,M,139,162 H,2/270150,CONCORD,R,2137,RESIDENCE,1449269,,,BURWOOD RD,1,R3
